Date,Open,High,Low,Close,Adj Close,Volume
2022-10-06,2.630000,2.740000,2.540000,2.630000,2.318717,6391600
2022-10-07,2.610000,2.770000,2.610000,2.710000,2.389249,5316700
2022-10-10,2.710000,2.820000,2.600000,2.610000,2.301084,3602100
2022-10-11,2.560000,2.640000,2.490000,2.610000,2.301084,4220400
2022-10-12,2.610000,2.750000,2.550000,2.730000,2.406881,4343100
2022-10-13,2.700000,2.900000,2.700000,2.890000,2.547944,7132500
2022-10-14,2.940000,3.070000,2.810000,3.050000,2.689007,7069900
2022-10-17,3.110000,3.200000,3.060000,3.200000,2.821253,4838300
2022-10-18,3.240000,3.340000,3.170000,3.280000,2.891784,5303400
2022-10-19,3.270000,3.280000,3.110000,3.240000,2.856519,4518600
2022-10-20,3.220000,3.290000,3.120000,3.160000,2.785987,4559600
2022-10-21,3.160000,3.270000,3.120000,3.240000,2.856519,4191300
2022-10-24,3.230000,3.230000,3.040000,3.150000,2.777171,4569000
2022-10-25,3.110000,3.230000,3.080000,3.220000,2.838886,3313900
2022-10-26,3.210000,3.290000,3.100000,3.100000,2.733088,2954100
2022-10-27,3.120000,3.160000,3.020000,3.050000,2.689007,2775000
2022-10-28,3.030000,3.070000,2.900000,3.000000,2.644924,2900800
2022-10-31,3.000000,3.110000,2.970000,3.090000,2.724272,2869300
2022-11-01,3.140000,3.320000,3.090000,3.170000,2.794804,4385800
2022-11-02,3.140000,3.290000,3.130000,3.180000,2.803620,3456400
2022-11-03,3.170000,3.380000,3.170000,3.370000,2.971132,5097000
2022-11-04,3.390000,3.500000,3.330000,3.400000,2.997581,4591900
2022-11-07,3.400000,3.460000,3.270000,3.370000,2.971132,3775800
2022-11-08,3.350000,3.500000,3.340000,3.420000,3.015214,3355500
2022-11-09,3.430000,3.430000,3.190000,3.200000,2.821253,2864300
2022-11-10,3.340000,3.360000,3.080000,3.140000,2.768354,6195200
2022-11-11,3.200000,3.280000,3.130000,3.280000,2.891784,4551500
2022-11-14,3.260000,3.400000,3.250000,3.290000,2.900601,2917900
2022-11-15,3.350000,3.510000,3.210000,3.500000,3.085745,8053200
2022-11-16,3.510000,3.510000,3.320000,3.410000,3.006398,5173500
2022-11-17,3.370000,3.680000,3.330000,3.630000,3.200359,7853400
2022-11-18,3.640000,3.750000,3.590000,3.630000,3.200359,4135100
2022-11-21,3.620000,3.800000,3.450000,3.800000,3.350238,9840000
2022-11-22,3.830000,3.940000,3.510000,3.510000,3.094562,9158800
2022-11-23,3.540000,3.670000,3.420000,3.500000,3.085745,3595000
2022-11-25,3.510000,3.610000,3.370000,3.520000,3.103378,1923300
2022-11-28,3.470000,3.500000,3.310000,3.330000,2.935866,4614100
2022-11-29,3.410000,3.660000,3.380000,3.470000,3.059296,6299900
2022-11-30,3.580000,3.640000,3.380000,3.620000,3.191542,4865200
2022-12-01,3.610000,3.780000,3.560000,3.580000,3.156276,4091800
2022-12-02,3.580000,3.750000,3.460000,3.750000,3.306156,6029400
2022-12-05,3.680000,3.850000,3.590000,3.660000,3.270413,5832400
2022-12-06,3.650000,3.720000,3.460000,3.480000,3.109573,3882100
2022-12-07,3.500000,3.500000,3.010000,3.060000,2.734280,8909300
2022-12-08,3.170000,3.270000,3.120000,3.210000,2.868314,4747500
2022-12-09,3.200000,3.330000,3.110000,3.220000,2.877249,2714200
2022-12-12,3.220000,3.530000,3.210000,3.470000,3.100638,4280300
2022-12-13,3.520000,3.520000,3.380000,3.450000,3.082767,2281700
2022-12-14,3.450000,3.470000,3.310000,3.350000,2.993411,2069000
2022-12-15,3.350000,3.590000,3.330000,3.520000,3.145316,3868800
2022-12-16,3.450000,3.560000,3.410000,3.490000,3.118509,3671800
2022-12-19,3.420000,3.470000,3.230000,3.240000,2.895120,4121200
2022-12-20,3.210000,3.310000,3.130000,3.180000,2.841507,3042200
2022-12-21,3.220000,3.260000,3.170000,3.220000,2.877249,2188100
2022-12-22,3.200000,3.230000,3.120000,3.170000,2.832571,2222300
2022-12-23,3.190000,3.200000,3.050000,3.180000,2.841507,2842500
2022-12-27,3.130000,3.200000,3.110000,3.160000,2.823636,1644100
2022-12-28,3.150000,3.150000,3.010000,3.030000,2.707474,1751700
2022-12-29,3.030000,3.120000,3.020000,3.050000,2.725344,2299200
2022-12-30,3.020000,3.110000,2.980000,3.060000,2.734280,2318600
2023-01-03,3.060000,3.120000,2.940000,2.980000,2.662795,3424000
2023-01-04,2.920000,2.960000,2.830000,2.900000,2.591311,3960400
2023-01-05,2.940000,2.980000,2.880000,2.920000,2.609182,2577700
2023-01-06,2.930000,2.990000,2.880000,2.950000,2.635989,2186200
2023-01-09,2.980000,3.000000,2.860000,2.920000,2.609182,3135500
2023-01-10,2.930000,3.080000,2.920000,3.050000,2.725344,3967200
2023-01-11,3.050000,3.100000,2.930000,2.960000,2.644924,2211900
2023-01-12,2.970000,3.050000,2.950000,3.020000,2.698538,1817700
2023-01-13,3.040000,3.150000,3.000000,3.140000,2.805765,2293000
2023-01-17,3.150000,3.270000,3.140000,3.220000,2.877249,2719900
2023-01-18,3.220000,3.310000,3.130000,3.150000,2.814700,2840700
2023-01-19,3.160000,3.160000,3.030000,3.050000,2.725344,3438000
2023-01-20,3.090000,3.100000,2.980000,3.010000,2.689602,3367400
2023-01-23,2.990000,3.030000,2.940000,2.960000,2.644924,2210800
2023-01-24,2.980000,3.010000,2.940000,2.960000,2.644924,2077000
2023-01-25,2.960000,2.970000,2.860000,2.910000,2.600247,2365700
2023-01-26,2.910000,2.930000,2.840000,2.890000,2.582376,1983500
2023-01-27,2.890000,3.000000,2.890000,2.990000,2.671731,1844200
2023-01-30,2.980000,3.060000,2.970000,2.990000,2.671731,1520900
2023-01-31,2.970000,3.090000,2.960000,3.040000,2.716409,2399000
2023-02-01,3.050000,3.130000,3.040000,3.100000,2.770022,2909600
2023-02-02,3.100000,3.100000,2.970000,3.070000,2.743216,3122200
2023-02-03,3.050000,3.210000,3.050000,3.090000,2.761086,2768700
2023-02-06,3.100000,3.310000,3.100000,3.260000,2.912991,3920900
2023-02-07,3.250000,3.340000,3.220000,3.300000,2.948733,2599100
2023-02-08,3.320000,3.330000,3.210000,3.290000,2.939798,2637600
2023-02-09,3.330000,3.450000,3.300000,3.350000,2.993411,4531100
2023-02-10,3.340000,3.410000,3.270000,3.330000,2.975540,2010500
2023-02-13,3.310000,3.580000,3.310000,3.530000,3.154251,4538800
2023-02-14,3.500000,3.650000,3.400000,3.630000,3.243607,3720400
2023-02-15,3.590000,3.760000,3.520000,3.750000,3.350833,3831100
2023-02-16,3.710000,3.820000,3.650000,3.770000,3.368705,3547900
2023-02-17,3.810000,3.870000,3.650000,3.680000,3.288285,3996600
2023-02-21,3.670000,3.790000,3.630000,3.680000,3.288285,3505600
2023-02-22,3.660000,3.670000,3.560000,3.630000,3.243607,2584100
2023-02-23,3.670000,3.900000,3.670000,3.840000,3.431253,4505500
2023-02-24,3.850000,3.920000,3.780000,3.800000,3.395511,5514200
2023-02-27,3.860000,4.320000,3.860000,4.250000,3.797611,10929900
2023-02-28,4.440000,4.480000,4.220000,4.430000,3.958451,7205200
2023-03-01,4.480000,4.540000,4.380000,4.430000,3.958451,7499600
2023-03-02,4.390000,4.550000,4.380000,4.500000,4.021000,4963800
2023-03-03,4.520000,4.580000,4.410000,4.540000,4.056742,2993700
2023-03-06,4.500000,4.510000,4.270000,4.390000,3.922709,3684600
2023-03-07,4.360000,4.450000,4.240000,4.410000,3.940580,3691700
2023-03-08,4.430000,4.650000,4.430000,4.500000,4.021000,4686400
2023-03-09,4.520000,4.610000,4.290000,4.300000,3.842289,3951400
2023-03-10,4.320000,4.410000,4.190000,4.220000,3.770804,4804100
2023-03-13,3.980000,4.040000,3.850000,3.940000,3.650361,5253800
2023-03-14,4.000000,4.170000,3.940000,4.090000,3.789335,3771800
2023-03-15,4.000000,4.010000,3.780000,3.870000,3.585507,4069100
2023-03-16,3.880000,3.880000,3.660000,3.700000,3.428004,4122300
2023-03-17,3.740000,3.850000,3.640000,3.680000,3.409474,6076400
2023-03-20,3.690000,3.950000,3.670000,3.880000,3.594772,3064400
2023-03-21,4.000000,4.300000,3.970000,4.180000,3.872718,4185100
2023-03-22,4.200000,4.260000,4.050000,4.100000,3.798599,3333600
2023-03-23,4.120000,4.230000,4.000000,4.030000,3.733745,2358600
2023-03-24,4.000000,4.090000,3.920000,4.040000,3.743010,1693300
2023-03-27,4.050000,4.090000,3.920000,4.000000,3.705950,2694500
2023-03-28,4.000000,4.040000,3.900000,3.900000,3.613302,2565200
2023-03-29,3.920000,4.110000,3.900000,3.970000,3.678156,3059500
2023-03-30,3.970000,4.010000,3.840000,3.940000,3.650361,2193700
2023-03-31,3.960000,4.000000,3.900000,3.960000,3.668891,2772400
2023-04-03,3.880000,3.890000,3.420000,3.480000,3.224177,8816400
2023-04-04,3.530000,3.540000,3.400000,3.500000,3.242707,3784100
2023-04-05,3.480000,3.600000,3.400000,3.550000,3.289031,3327600
2023-04-06,3.550000,3.590000,3.410000,3.410000,3.159323,2269500
2023-04-10,3.450000,3.530000,3.420000,3.490000,3.233442,1912900
2023-04-11,3.480000,3.540000,3.450000,3.480000,3.224177,1754800
2023-04-12,3.500000,3.540000,3.450000,3.480000,3.224177,1535700
2023-04-13,3.510000,3.680000,3.510000,3.570000,3.307561,2405500
2023-04-14,3.590000,3.620000,3.500000,3.570000,3.307561,1773500
2023-04-17,3.600000,3.850000,3.600000,3.840000,3.557713,3520800
2023-04-18,3.850000,3.940000,3.760000,3.920000,3.631831,2958900
2023-04-19,3.870000,3.870000,3.690000,3.770000,3.492858,1776400
2023-04-20,3.710000,3.780000,3.610000,3.650000,3.381680,2166900
2023-04-21,3.630000,3.640000,3.540000,3.580000,3.316826,1831400
2023-04-24,3.600000,3.890000,3.590000,3.770000,3.492858,3451400
2023-04-25,3.740000,3.740000,3.610000,3.630000,3.363150,2151800
2023-04-26,3.620000,3.660000,3.490000,3.510000,3.251971,2199100
2023-04-27,3.520000,3.580000,3.470000,3.500000,3.242707,1901200
2023-04-28,3.500000,3.590000,3.480000,3.530000,3.270501,1635800
2023-05-01,3.530000,3.540000,3.420000,3.470000,3.214912,1922900
2023-05-02,3.460000,3.480000,3.330000,3.400000,3.150058,1958900
2023-05-03,3.420000,3.430000,3.300000,3.350000,3.103734,1801700
2023-05-04,3.320000,3.380000,3.260000,3.340000,3.094469,1731900
2023-05-05,3.390000,3.560000,3.370000,3.470000,3.214912,2687500
2023-05-08,3.450000,3.490000,3.340000,3.430000,3.177853,1789300
2023-05-09,3.410000,3.490000,3.350000,3.480000,3.224177,1276600
2023-05-10,3.480000,3.570000,3.440000,3.530000,3.270501,1560600
2023-05-11,3.500000,3.700000,3.500000,3.640000,3.372415,2929300
2023-05-12,3.640000,3.750000,3.540000,3.560000,3.298296,1615500
2023-05-15,3.610000,3.660000,3.540000,3.560000,3.298296,1724700
2023-05-16,3.580000,3.690000,3.570000,3.610000,3.344620,1634400
2023-05-17,3.620000,3.660000,3.590000,3.650000,3.381680,1575200
2023-05-18,3.620000,3.640000,3.500000,3.600000,3.335356,2517100
2023-05-19,3.660000,3.790000,3.620000,3.700000,3.428004,2754800
2023-05-22,3.930000,4.160000,3.810000,4.010000,3.715216,7332700
2023-05-23,4.050000,4.150000,3.810000,3.830000,3.548448,5846300
2023-05-24,3.850000,3.860000,3.760000,3.840000,3.557713,3646100
2023-05-25,3.860000,3.860000,3.690000,3.700000,3.428004,2116700
2023-05-26,3.770000,3.830000,3.730000,3.810000,3.529918,2445300
2023-05-30,3.800000,3.800000,3.580000,3.620000,3.353885,2796600
2023-05-31,3.590000,3.600000,3.470000,3.510000,3.251971,3120000
2023-06-01,3.560000,3.720000,3.540000,3.550000,3.289031,2496900
2023-06-02,3.590000,3.700000,3.580000,3.690000,3.418739,2715800
2023-06-05,3.630000,3.650000,3.520000,3.530000,3.270501,1895200
2023-06-06,3.540000,3.640000,3.440000,3.590000,3.326091,2953400
2023-06-07,3.630000,3.700000,3.600000,3.670000,3.400210,2525400
2023-06-08,3.680000,3.740000,3.610000,3.640000,3.372415,2568800
2023-06-09,3.650000,3.770000,3.610000,3.720000,3.446534,2532100
2023-06-12,3.740000,3.750000,3.630000,3.660000,3.390945,3002100
2023-06-13,3.710000,3.770000,3.640000,3.670000,3.400210,2918900
2023-06-14,3.570000,3.740000,3.560000,3.710000,3.583744,2828400
2023-06-15,3.700000,3.800000,3.670000,3.780000,3.651361,3359200
2023-06-16,3.810000,3.810000,3.690000,3.790000,3.661021,2687600
2023-06-20,3.770000,3.770000,3.670000,3.730000,3.603063,2012300
2023-06-21,3.730000,3.770000,3.660000,3.760000,3.632042,2571400
2023-06-22,3.730000,3.750000,3.650000,3.740000,3.612723,2066400
2023-06-23,3.680000,3.710000,3.630000,3.680000,3.554765,4618200
2023-06-26,3.660000,3.670000,3.520000,3.530000,3.409869,1955900
2023-06-27,3.550000,3.550000,3.500000,3.510000,3.390550,1290300
2023-06-28,3.500000,3.540000,3.450000,3.490000,3.371230,2463500
2023-06-29,3.520000,3.620000,3.490000,3.580000,3.458168,2126200
2023-06-30,3.600000,3.700000,3.600000,3.670000,3.545105,2006800
2023-07-03,3.690000,3.770000,3.650000,3.670000,3.545105,1386000
2023-07-05,3.670000,3.830000,3.630000,3.740000,3.612723,3749600
2023-07-06,3.710000,3.750000,3.580000,3.630000,3.506466,2558300
2023-07-07,3.650000,3.790000,3.650000,3.730000,3.603063,2275900
2023-07-10,3.740000,3.790000,3.690000,3.690000,3.564424,1245600
2023-07-11,3.720000,3.750000,3.690000,3.740000,3.612723,1089200
2023-07-12,3.750000,3.830000,3.740000,3.760000,3.632042,2145100
2023-07-13,3.800000,3.840000,3.760000,3.790000,3.661021,1754700
2023-07-14,3.790000,3.790000,3.640000,3.660000,3.535445,2635900
2023-07-17,3.650000,3.750000,3.630000,3.740000,3.612723,1872100
