Date,Open,High,Low,Close,Adj Close,Volume
2022-10-10,51.790001,52.029999,51.119999,51.160000,49.236023,3820625
2022-10-11,50.730000,51.250000,50.060001,50.180000,48.292881,4254453
2022-10-12,50.009998,50.724998,49.724201,50.320000,48.427616,4001576
2022-10-13,50.320000,52.494999,50.320000,52.189999,50.227287,9291623
2022-10-14,51.430000,51.590000,50.470001,50.529999,48.629715,5436625
2022-10-17,51.369999,51.950001,51.310001,51.410000,49.476624,4588346
2022-10-18,51.599998,51.700001,50.810001,51.439999,49.505497,3773047
2022-10-19,51.000000,51.924999,50.880001,51.740002,49.794216,5001210
2022-10-20,52.369999,52.730000,51.740002,52.020000,50.063683,4362973
2022-10-21,51.759998,52.990002,51.590000,52.990002,50.997208,3219369
2022-10-24,52.610001,53.470001,52.490002,52.939999,50.949081,3832212
2022-10-25,52.730000,53.009998,52.480000,52.810001,50.823975,3074376
2022-10-26,52.590000,53.740002,52.590000,53.310001,51.305172,5667610
2022-10-27,55.869999,56.730701,55.849998,56.009998,53.903633,7316421
2022-10-28,56.480000,56.680000,55.830002,56.180000,54.067242,5940751
2022-10-31,55.099998,55.994999,54.875000,55.630001,53.537926,5838825
2022-11-01,56.919998,56.950001,55.799999,55.840000,53.740025,4792770
2022-11-02,55.950001,56.044998,54.840000,54.910000,52.845005,3919461
2022-11-03,54.779999,55.869999,54.598999,55.730000,53.634167,3795150
2022-11-04,57.279999,57.665001,56.660000,57.060001,54.914150,6535189
2022-11-07,57.279999,57.439999,56.840000,56.860001,54.721672,4806178
2022-11-08,56.119999,56.520000,55.840000,56.209999,54.096111,4022750
2022-11-09,54.299999,54.520000,53.035000,53.110001,51.571430,5612875
2022-11-10,54.490002,54.740002,53.560001,53.880001,52.319126,5155983
2022-11-11,55.590000,55.994999,55.174999,55.770000,54.154373,5480342
2022-11-14,54.970001,55.410000,54.660000,54.660000,53.076530,3393581
2022-11-15,56.270000,56.669998,55.950001,56.279999,54.649597,4948655
2022-11-16,56.619999,56.730000,55.668900,55.820000,54.202927,4272507
2022-11-17,55.709999,56.750000,55.509998,56.689999,55.047722,4534539
2022-11-18,55.869999,56.145000,55.139999,55.939999,54.319447,3367940
2022-11-21,54.709999,54.830002,53.510101,54.689999,53.105659,4371219
2022-11-22,56.000000,56.950001,55.720001,56.820000,55.173954,3419207
